title,label
"Ngatiyana Terjun Langsung Menemui Warga, Menampung Aspirasi Masyarakat",1
Spesifikasi Redmi 10C HP Gaming Murah Rp 1 Jutaan,0
"Puluhan Rumah di Perum Griya Zavira Cilawu Terancam Terbawa Longsor, Warga Minta Pemkab Segera Bertindak",2
Prakiraan Cuaca Kota-kota Besar di Indonesia untuk Senin 25 Juli 2022,0
"Kurang dari 24 Jam, Pelaku Pembunuh Remaja Diciduk Saat Coba Melarikan Diri",2
Bawaslu KBB Butuh Anggaran Rp23 Miliar untuk Pilkada Serentak 2024,0
Lansia Menjadi Kelompok Paling Rentan Selama Pandemi Covid-19,0
"Terdakwa Kasus Kebakaran Bengkel di Tangerang Divonis 8 Tahun Bui, PH: Keputusan Hakim Bijak",0
"Odong-odong TERPENTAL 10 Meter Dihantam Kereta Api, 9 Orang Meninggal",2
"Cinta Setelah Cinta 26 Juli 2022 Tayang di SCTV Pukul 19.30 WIB, Niko dan Ayu Kepergok Tio dan Gurunya",0
"Sekali Panen, Petani Tomat di Lembang Mampu Meraup Pendapatan Rp1 Miliar",1
Bacaan Niat Puasa Senin-Kamis Berikut Doa Berbuka dan Keutamaannya,0
"LINK LIVE STREAMING Persikabo vs Persebaya Surabaya, Segera KICK OFF Langsung Klik di Sini",0
"LINK LIVE STREAMING Persib Bandung vs Bhayangkara FC, Maung Bandung Sementara Unggul 2-1!",0
"Hadapi Tim EPPD Jabar, Bupati Sumedang Tekan Bawahannya Kooperatif",2
"Persikabo Taklukkan Persebaya Surabaya 1-0, Gustavo Tocantins Jadi Pahlawan Kemenangan",1
"Benfica vs Newcastle United, Jadwal Pertandingan, Tempat dan Prediksi Susunan Pemain",0
Ridwan Kamil 'Ceramahi' Baim Wong Soal Citayam Fashion Week: Tidak Perlu Ikut-ikutan Mengatur!,1
"LINK LIVE STREAMING Persis Solo vs Dewa United, Pertaruhan Kualitas 2 Mantan Pelatih Timnas Indonesia",0
"MENCEKAM! Warga Sweeping Kendaraan Bermotor di Yogyakarta, Plat AD Trending Topic",2
"Ini Daftar 73 Jemaah Haji yang Meninggal hingga Hari ke-53, 60% Jemaah Gelombang Pertama Pulang ke Tanah Air",2
"Petani Masuk Kelompok Prasejahtera, PKS Minta Kader Legislatif dan Eksekutif Ikut Berjuang",1
Green Kurban Salurkan ke 17.782 Penerima Manfaat,1
BPKAD Kota Cimahi Launching Aplikasi SIAGA,1
Museum Subang Masih Kurang Pengunjung,2
"LINK STREAMING Cinta Setelah Cinta 26 Juli 2022, Tayang Sesaat Lagi Langsung Klik di Sini",0
"Perkuat Persatuan dan Kesatuan, Kodim 0618/BS Laksanakan Bimkom Cegah Konflik Sosial",1
"Dahana Garap Rajata, Penghancur Tanpa Ketahui Musuh",0
"Jelang Benfica vs Newcastle United, The Magpies Ambisi Datangkan Timo Werner dari Chelsea",0
"Frets Butuan Bawa Persib Unggul Sementara di Babak Kedua, LINK LIVE STREAMING Bisa Diakses di Sini",0
"Wakil Ketua DPRD Kota Bandung, Ade Supriadi Wafat, Wali Kota Berduka",0
"LINK LIVE STREAMING Persikabo vs Persebaya Surabaya, Langsung Klik di Sini",0
"Persib Bandung Kebobolan Jelang Pertandingan Kontra Bhayangkara FC Berakhir, Wasit Jadi Sorotan Bobotoh",0
"Pelatihan Guru Utama Revitalisasi Bahasa Daerah, Menjaga Kepunahan Bahasa Daerah dengan Menulis",1
NONTON Persikabo vs Persebaya Surabaya Langsung Klik LINK LIVE STREAMING Hanya di Sini,0
Ridwan Kamil Dinobatkan sebagai Ayah Inspiratif,1
"Presiden Jokowi Tiba di China, Besok Sore Temui Xi Jinping Secara Tertutup",0
KPAS-PlaAstro Gelar Pameran Tunggal 'The Silence of Khotbah',0
"Langsung Jatuh Cinta Pada Kosumon, Moeldoko: Saya Jagonya Ngopi, Ini Very Special",1
"Gandeng Pemerintah Daerah, Tokopedia Dorong Implementasi Digitalisasi Pasar Rakyat",1
"Viral! Petarung UFC Sampaikan Hal Menyedihkan Usai Menang Tarung, Temannya Bunuh Diri Jelang Tanding",2
"VIRAL Seorang Pria Tergeletak di Jalanan Yogyakarta, Polda DIY Cek Kemungkinan Korban Jiwa ke RS",2
"Ade Yasin Optimis Eksepsi Diterima Hakim, Dakwaan Tak Sesuai dengan Alasan KPK Melakukan Penangkapan",0
Empat Pelaku Spesialis Pencurian Mobil Pick Up Diringkus Polresta Bandung,2
"WASPADA! Siang dan Malam Hari Jabar Diguyur Hujan: Prakiraan Cuaca Wilayah Jawa Barat Senin, 25 Juli 2022",2
"Buka Latsar CPNS, Sekda Jabar Tekankan Integritas",0
Panglima TNI Utus Dokter Forensik TNI Lakukan Autopsi Brigadir J: Kalau Mau Tambah Juga Boleh,0
"PAD Retribusi Parkir Minim, Ini yang Akan Dilakukan Bapenda KBB",0
"Pesan Menohok Ridwan Kamil ke Baim Wong Soal Citayam Fashion Week: Anda dan Istri Sudah Hebat, Tapi...",2
"Berusaha Pulihkan Cedera, Febri Hariyadi Disemangati Mario Jardel: Semangat Bang Bow!",1
"Pemilik Tim Football Menangkan Lelang Sabuk Juara Tinju Muhammad Ali, Ini Harganya",1
"Tersangka KASUS SUBANG Bertambah Jadi 11 Orang, Perannya Diungkap Polda Jabar",2
"Kasus Anak Tewas Akibat Perundungan di Tasikmalaya, 3 Orang Jadi Tersangka",2
"Cinta Setelah Cinta 25 Juli 2022 Tayang di SCTV Pukul 19.30, Simak Sinopsis Berikut LINK STREAMING",0
"Ada 16.000 Kasus Cacar Monyet di 75 Negara, WHO Minta Kawasan Asia Tenggara Perkuat Pengawasan",2
"Inilah yang Harus Hindari, Warga Binaan Lapas Sumedang",2
"CFW Didaftarkan Paten Ini Komentar Sandiaga Uno: Anak-anak SCBD Jangan Ada yang Terzalimi, Harus Transparan",1
