title,Token,stopword,stemmed,label
ngatiyana terjun langsung menemui warga menampung aspirasi masyarakat,"['ngatiyana', 'terjun', 'langsung', 'menemui', 'warga', 'menampung', 'aspirasi', 'masyarakat']","['ngatiyana', 'terjun', 'langsung', 'menemui', 'warga', 'menampung', 'aspirasi', 'masyarakat']",ngatiyana terjun langsung temu warga tampung aspirasi masyarakat,1
spesifikasi redmi    hp gaming murah rp   jutaan,"['spesifikasi', 'redmi', 'hp', 'gaming', 'murah', 'rp', 'jutaan']","['spesifikasi', 'redmi', 'hp', 'gaming', 'murah', 'jutaan']",spesifikasi redmi hp gaming murah juta,0
puluhan rumah di perum griya zavira cilawu terancam terbawa longsor warga minta pemkab segera bertindak,"['puluhan', 'rumah', 'di', 'perum', 'griya', 'zavira', 'cilawu', 'terancam', 'terbawa', 'longsor', 'warga', 'minta', 'pemkab', 'segera', 'bertindak']","['puluhan', 'rumah', 'perum', 'griya', 'zavira', 'cilawu', 'terancam', 'terbawa', 'longsor', 'warga', 'pemkab', 'bertindak']",puluh rumah perum griya zavira cilawu ancam bawa longsor warga pemkab tindak,2
prakiraan cuaca kotakota besar di indonesia untuk senin    juli     ,"['prakiraan', 'cuaca', 'kotakota', 'besar', 'di', 'indonesia', 'untuk', 'senin', 'juli']","['prakiraan', 'cuaca', 'kotakota', 'indonesia', 'senin', 'juli']",prakira cuaca kotakota indonesia senin juli,0
kurang dari    jam pelaku pembunuh remaja diciduk saat coba melarikan diri,"['kurang', 'dari', 'jam', 'pelaku', 'pembunuh', 'remaja', 'diciduk', 'saat', 'coba', 'melarikan', 'diri']","['jam', 'pelaku', 'pembunuh', 'remaja', 'diciduk', 'coba', 'melarikan']",jam laku bunuh remaja ciduk coba lari,2
bawaslu kbb butuh anggaran rp   miliar untuk pilkada serentak     ,"['bawaslu', 'kbb', 'butuh', 'anggaran', 'rp', 'miliar', 'untuk', 'pilkada', 'serentak']","['bawaslu', 'kbb', 'butuh', 'anggaran', 'miliar', 'pilkada', 'serentak']",bawaslu kbb butuh anggar miliar pilkada serentak,0
lansia menjadi kelompok paling rentan selama pandemi covid  ,"['lansia', 'menjadi', 'kelompok', 'paling', 'rentan', 'selama', 'pandemi', 'covid']","['lansia', 'kelompok', 'rentan', 'pandemi', 'covid']",lansia kelompok rentan pandemi covid,0
terdakwa kasus kebakaran bengkel di tangerang divonis   tahun bui ph keputusan hakim bijak,"['terdakwa', 'kasus', 'kebakaran', 'bengkel', 'di', 'tangerang', 'divonis', 'tahun', 'bui', 'ph', 'keputusan', 'hakim', 'bijak']","['terdakwa', 'kebakaran', 'bengkel', 'tangerang', 'divonis', 'bui', 'ph', 'keputusan', 'hakim', 'bijak']",dakwa bakar bengkel tangerang vonis bui ph putus hakim bijak,0
odongodong terpental    meter dihantam kereta api   orang meninggal,"['odongodong', 'terpental', 'meter', 'dihantam', 'kereta', 'api', 'orang', 'meninggal']","['odongodong', 'terpental', 'meter', 'dihantam', 'kereta', 'api', 'orang', 'meninggal']",odongodong pental meter hantam kereta api orang tinggal,2
cinta setelah cinta    juli      tayang di sctv pukul      wib niko dan ayu kepergok tio dan gurunya,"['cinta', 'setelah', 'cinta', 'juli', 'tayang', 'di', 'sctv', 'pukul', 'wib', 'niko', 'dan', 'ayu', 'kepergok', 'tio', 'dan', 'gurunya']","['cinta', 'cinta', 'juli', 'tayang', 'sctv', 'wib', 'niko', 'ayu', 'kepergok', 'tio', 'gurunya']",cinta cinta juli tayang sctv wib niko ayu pergok tio guru,0
sekali panen petani tomat di lembang mampu meraup pendapatan rp  miliar,"['sekali', 'panen', 'petani', 'tomat', 'di', 'lembang', 'mampu', 'meraup', 'pendapatan', 'rp', 'miliar']","['panen', 'petani', 'tomat', 'lembang', 'meraup', 'pendapatan', 'miliar']",panen tani tomat lembang raup dapat miliar,1
bacaan niat puasa seninkamis berikut doa berbuka dan keutamaannya,"['bacaan', 'niat', 'puasa', 'seninkamis', 'berikut', 'doa', 'berbuka', 'dan', 'keutamaannya']","['bacaan', 'niat', 'puasa', 'seninkamis', 'doa', 'berbuka', 'keutamaannya']",baca niat puasa seninkamis doa buka utama,0
link live streaming persikabo vs persebaya surabaya segera kick off langsung klik di sini,"['link', 'live', 'streaming', 'persikabo', 'vs', 'persebaya', 'surabaya', 'segera', 'kick', 'off', 'langsung', 'klik', 'di', 'sini']","['link', 'live', 'streaming', 'persikabo', 'vs', 'persebaya', 'surabaya', 'kick', 'off', 'langsung', 'klik']",link live streaming persikabo vs baya surabaya kick off langsung klik,0
link live streaming persib bandung vs bhayangkara fc maung bandung sementara unggul   ,"['link', 'live', 'streaming', 'persib', 'bandung', 'vs', 'bhayangkara', 'fc', 'maung', 'bandung', 'sementara', 'unggul']","['link', 'live', 'streaming', 'persib', 'vs', 'bhayangkara', 'fc', 'maung', 'unggul']",link live streaming persib vs bhayangkara fc maung unggul,0
hadapi tim eppd jabar bupati sumedang tekan bawahannya kooperatif,"['hadapi', 'tim', 'eppd', 'jabar', 'bupati', 'sumedang', 'tekan', 'bawahannya', 'kooperatif']","['hadapi', 'tim', 'eppd', 'jabar', 'bupati', 'sumedang', 'tekan', 'bawahannya', 'kooperatif']",hadap tim eppd jabar bupati sumedang tekan bawah kooperatif,2
persikabo taklukkan persebaya surabaya    gustavo tocantins jadi pahlawan kemenangan,"['persikabo', 'taklukkan', 'persebaya', 'surabaya', 'gustavo', 'tocantins', 'jadi', 'pahlawan', 'kemenangan']","['persikabo', 'taklukkan', 'persebaya', 'surabaya', 'gustavo', 'tocantins', 'pahlawan', 'kemenangan']",persikabo takluk baya surabaya gustavo tocantins pahlawan menang,1
benfica vs newcastle united jadwal pertandingan tempat dan prediksi susunan pemain,"['benfica', 'vs', 'newcastle', 'united', 'jadwal', 'pertandingan', 'tempat', 'dan', 'prediksi', 'susunan', 'pemain']","['benfica', 'vs', 'newcastle', 'united', 'jadwal', 'pertandingan', 'prediksi', 'susunan', 'pemain']",benfica vs newcastle united jadwal tanding prediksi susun main,0
