title,label
"Ngatiyana Terjun Langsung Menemui Warga, Menampung Aspirasi Masyarakat",1
Redmi 10c spesifikasi gahar,0
"Puluhan Rumah di Perum Griya Zavira Cilawu Terancam Terbawa Longsor, Warga Minta Pemkab Segera Bertindak",2
Prakiraan Cuaca Kota-kota Besar di Indonesia untuk Senin 25 Juli 2022,0
"Kurang dari 24 Jam, Pelaku Pembunuh Remaja Diciduk Saat Coba Melarikan Diri",2
Bawaslu KBB Butuh Anggaran Rp23 Miliar untuk Pilkada Serentak 2024,0
Lansia Menjadi Kelompok Paling Rentan Selama Pandemi Covid-19,0
"Terdakwa Kasus Kebakaran Bengkel di Tangerang Divonis 8 Tahun Bui, PH: Keputusan Hakim Bijak",0
"Odong-odong TERPENTAL 10 Meter Dihantam Kereta Api, 9 Orang Meninggal",2
"Cinta Setelah Cinta 26 Juli 2022 Tayang di SCTV Pukul 19.30 WIB, Niko dan Ayu Kepergok Tio dan Gurunya",0
"Sekali Panen, Petani Tomat di Lembang Mampu Meraup Pendapatan Rp1 Miliar",1
Bacaan Niat Puasa Senin-Kamis Berikut Doa Berbuka dan Keutamaannya,0
"LINK LIVE STREAMING Persikabo vs Persebaya Surabaya, Segera KICK OFF Langsung Klik di Sini",0
"LINK LIVE STREAMING Persib Bandung vs Bhayangkara FC, Maung Bandung Sementara Unggul 2-1!",0
"Hadapi Tim EPPD Jabar, Bupati Sumedang Tekan Bawahannya Kooperatif",2
"Persikabo Taklukkan Persebaya Surabaya 1-0, Gustavo Tocantins Jadi Pahlawan Kemenangan",1
"Benfica vs Newcastle United, Jadwal Pertandingan, Tempat dan Prediksi Susunan Pemain",0
Ridwan Kamil 'Ceramahi' Baim Wong Soal Citayam Fashion Week: Tidak Perlu Ikut-ikutan Mengatur!,1
"LINK LIVE STREAMING Persis Solo vs Dewa United, Pertaruhan Kualitas 2 Mantan Pelatih Timnas Indonesia",0
"MENCEKAM! Warga Sweeping Kendaraan Bermotor di Yogyakarta, Plat AD Trending Topic",2
"Ini Daftar 73 Jemaah Haji yang Meninggal hingga Hari ke-53, 60% Jemaah Gelombang Pertama Pulang ke Tanah Air",2
"Petani Masuk Kelompok Prasejahtera, PKS Minta Kader Legislatif dan Eksekutif Ikut Berjuang",1
Green Kurban Salurkan ke 17.782 Penerima Manfaat,1
BPKAD Kota Cimahi Launching Aplikasi SIAGA,1
Museum Subang Masih Kurang Pengunjung,2
"LINK STREAMING Cinta Setelah Cinta 26 Juli 2022, Tayang Sesaat Lagi Langsung Klik di Sini",0
"Perkuat Persatuan dan Kesatuan, Kodim 0618/BS Laksanakan Bimkom Cegah Konflik Sosial",1
"Dahana Garap Rajata, Penghancur Tanpa Ketahui Musuh",0
